Feature ID	Taxon	Confidence
0000edd3b0d17d4f3e7ec3a7aa9c4955	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Rothia	0.9999122829041979
0002c8d4fa359f11d2f4e79ec3612054	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Peptostreptococcaceae;D_5__uncultured;D_6__uncultured Clostridium sp.	0.9991934853648213
000d908c36fc8a2a7e4be0a9f6f8975a	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella;D_6__Prevotella oris	0.7950311480353522
000dbe751bc1dbaac32a79bc8a22e621	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella 7;D_6__Prevotella buccae ATCC 33574	0.8104791748088529
000e52b14a3f7af1f7f284c52400c58f	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Rothia;D_6__Rothia dentocariosa	0.7633014796420696
00170e9aa40e67e88d08a2e977f5c9b0	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae;D_5__Pirellula	0.9999936809788995
001e75b09df7b8369232079ce5655bd8	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas	0.8956147838605439
00245c15deef3245bc4df45d9419ee39	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Sphingobacterium;D_6__uncultured bacterium	0.859703663935454
002475baa6d55f1027f344bb0ed56c4a	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Escherichia-Shigella	0.9861457870533847
0029c5b9697188f231886af2a85ed3ee	D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia;D_3__Fimbriimonadales;D_4__Fimbriimonadaceae;D_5__uncultured microorganism;D_6__uncultured microorganism	0.9894263848078397
